timestamp,contact_1,contact_2,contact_3,contact_4
1742312694.5706017,52,17,18,42
1742312694.5724819,53,17,18,42
1742312694.5745354,53,17,18,42
1742312694.5775628,54,17,18,41
1742312694.578504,54,17,18,41
1742312694.5805354,54,17,18,41
1742312694.5825093,54,17,18,40
1742312694.5844932,56,17,18,40
1742312694.5864885,56,17,18,40
1742312694.588489,56,17,18,40
1742312694.5904748,56,17,18,40
1742312694.5924723,56,17,18,40
1742312694.5944927,56,17,18,40
1742312694.5964944,56,18,18,40
1742312694.5985096,56,18,18,40
1742312694.6004922,56,17,18,40
1742312694.602487,57,17,18,40
1742312694.604479,57,17,18,40
1742312694.6064813,61,17,18,40
1742312694.6084857,61,18,18,40
1742312694.6105292,61,18,18,40
1742312694.612515,61,18,18,39
1742312694.6144989,61,18,18,39
1742312694.6168501,61,18,18,38
1742312694.6185217,61,18,18,38
1742312694.6206706,62,18,18,38
1742312694.6224837,62,18,18,38
1742312694.6244872,62,18,18,38
1742312694.6264834,64,18,18,38
1742312694.62847,64,18,18,38
1742312694.6305335,64,18,18,38
1742312694.6325405,64,18,18,38
1742312694.6345143,64,18,18,39
1742312694.6365511,64,18,18,39
1742312694.6385167,66,18,18,39
1742312694.6405537,66,18,18,39
1742312694.642532,66,18,18,38
1742312694.6444938,66,18,18,38
1742312694.6465511,66,18,18,38
1742312694.6485023,68,18,18,38
1742312694.650492,68,18,18,38
1742312694.652501,68,18,18,38
1742312694.654508,68,18,18,38
1742312694.6564832,68,18,18,38
1742312694.658499,70,18,18,38
1742312694.6604745,70,18,18,38
1742312694.6624897,70,18,18,38
1742312694.66452,70,18,18,38
1742312694.6665065,70,18,18,38
1742312694.6685069,70,18,18,38
1742312694.670764,73,18,18,37
1742312694.6726258,73,18,18,37
1742312694.6745183,73,18,18,37
1742312694.6764753,73,18,18,36
1742312694.67848,73,18,18,36
1742312694.680508,73,18,18,36
1742312694.6825037,73,18,18,36
1742312694.6844869,73,18,18,36
1742312694.686488,73,18,18,36
1742312694.6884773,73,18,18,36
1742312694.690499,73,18,18,36
1742312694.6924906,74,18,18,36
1742312694.6944902,74,18,18,36
1742312694.696493,74,18,18,34
1742312694.698528,74,18,18,34
1742312694.700486,74,18,18,33
1742312694.7025237,74,41,18,33
1742312694.7044864,73,41,18,33
1742312694.7065156,73,41,18,33
1742312694.7085361,73,41,18,33
1742312694.7105343,76,69,46,33
1742312694.712494,76,69,46,32
1742312694.7144794,74,75,46,32
1742312694.7164748,74,75,66,32
1742312694.7184691,74,75,66,31
1742312694.720545,74,75,66,31
1742312694.7224975,66,68,68,31
1742312694.7245085,66,68,68,31
1742312694.7265224,38,68,68,25
1742312694.728514,38,62,58,25
1742312694.730561,38,62,58,18
1742312694.7326045,38,62,58,18
1742312694.7345228,18,64,50,18
1742312694.7365155,18,64,50,16
1742312694.7385013,18,64,50,16
1742312694.7405212,17,66,49,17
1742312694.742492,17,66,49,17
1742312694.7444882,17,66,49,17
1742312694.746478,16,57,47,17
1742312694.748498,16,57,47,16
1742312694.750478,16,52,47,16
1742312694.752458,16,52,44,16
1742312694.754472,16,52,44,16
1742312694.756497,16,52,44,16
1742312694.7585154,16,50,44,16
1742312694.760496,16,50,44,16
1742312694.7625148,16,50,44,16
1742312694.7645004,16,50,44,16
1742312694.766478,16,50,44,16
1742312694.7684822,16,50,44,16
1742312694.7704966,16,49,45,16
1742312694.772539,16,49,45,16
1742312694.7746692,16,50,45,16
1742312694.7764711,16,50,45,16
1742312694.7784863,16,50,45,16
1742312694.7805295,16,51,45,16
1742312694.782544,16,51,48,16
1742312694.784488,16,51,48,16
1742312694.786537,16,51,48,16
1742312694.7884943,16,52,49,16
1742312694.7905126,16,52,49,16
1742312694.7925646,16,53,49,16
1742312694.7945068,16,53,50,16
1742312694.7965002,16,53,50,16
1742312694.7985246,16,53,50,16
1742312694.8005004,16,53,49,16
1742312694.8099973,16,53,49,16
1742312694.8101919,16,53,49,16
1742312694.8103712,17,53,49,16
1742312694.8105206,17,53,49,16
1742312694.8105974,17,53,49,16
1742312694.812577,17,53,47,16
1742312694.814476,17,53,47,16
1742312694.81733,17,52,47,16
1742312694.8188875,17,52,45,16
